id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
4352;PFC120010;PFC120010;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC120010.jpg;;;; PFC120010 PASTILHA PARA FREIO 2081/2016 20812016 42555669 IVECO CITYCLASS 70C16 70C17 DAILY EUROCARGO  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 42555669 REGISTRO INMETRO 2081/2016
4353;PFC120011;PFC120011;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC120011.jpg;;;; PFC120011 PASTILHA PARA FREIO 2081/2016 20812016 42555633 IVECO CITYCLASS 70C16 70C17 DAILY 65C15 V/P III 60C18 KK III 65C18 V /P III 60C15 DK III 60C15 K III 60C15 KK III 60C18 DK III 60C18 K III 60C18 V /P III 65C15  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 42555633 REGISTRO INMETRO 2081/2016
4354;PFC170021;PFC170021;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC170021.jpg;;;; PFC170021 PASTILHA PARA FREIO 1608520680 2078/2016 20782016 CITROEN PEUGEOT 3008 308 5008 C4 DS4 DS5 RCZ  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 1608520680 REGISTRO INMETRO 2078/2016
4355;PFC180015;PFC180015;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC180015.jpg;;;; PFC180015 PASTILHA PARA FREIO 2075/2016 20752016 410600950R RENAULT KWID  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 410600950R REGISTRO INMETRO 2075/2016
4356;PFC190005;PFC190005;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC190005.jpg;;;; PFC190005 PASTILHA PARA FREIO 20568712 2082/2016 20822016 PD/195 PD195 VOLVO FH-12  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 20568712 FRASLE PD/195 REGISTRO INMETRO 2082/2016
4357;PFC190006;PFC190006;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC190006.jpg;;;; PFC190006 PASTILHA PARA FREIO 2075/2016 20752016 GDB9005 LR-004936 LR004936 N-1472 N1472 LAND ROVER PEUGEOT VOLVO 508 RANGE ROVER EVOQUE S80  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL LR-004936 TRW GDB9005 COBREQ N-1472 REGISTRO INMETRO 2075/2016
4358;PFC190009;PFC190009;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC190009.jpg;;;; PFC190009 PASTILHA PARA FREIO 2082/2016 20822016 20918891 N-1503 N1503 PD/529 PD529 RCPT09170 VOLVO B-12 SERIES B-7 B-9 SERIES - ARTICULADO FH-12 FH-16 FL 618 FM-12 FM-9 VM 310T 4X2 43TON  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 20918891 TRW RCPT09170 COBREQ N-1503 FRASLE PD/529 REGISTRO INMETRO 2082/2016
4359;PFC190010;PFC190010;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA / TRASEIRA;;PFC190010.jpg;;;; PFC190010 PASTILHA PARA FREIO 2082/2016 20822016 21496550 PD/196 PD196 RCPT13630 VOLVO B-12 R - 6X2 / 8X2 B-290 B-7 B-9 FH-12 SERIES FH-13  PASTILHA PARA FREIO PASTILHAS DIANTEIRA / TRASEIRA ORIGINAL 21496550 TRW RCPT13630 FRASLE PD/196 REGISTRO INMETRO 2082/2016
4360;PFC190011;PFC190011;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC190011.jpg;;;; PFC190011 PASTILHA PARA FREIO 2082/2016 20822016 6129997952 PD/131 PD131 RCPT09120 VOLVO VM 23 210 6X2 2P TODOS OS MODELOS  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 6129997952 TRW RCPT09120 FRASLE PD/131 REGISTRO INMETRO 2082/2016
4361;PFC220018;PFC220018;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC220018.jpg;;;; PFC220018 PASTILHA PARA FREIO 04466-47100 446647100 2078/2016 20782016 PD/1320 PD1320 JAC MOTORS LIFAN TOYOTA 530 TALENT COROLLA XRS PRIUS HYBRID T40 JET FLEX T5  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 04466-47100 FRASLE PD/1320 REGISTRO INMETRO 2078/2016
4362;PFC220019;PFC220019;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC220019.jpg;;;; PFC220019 PASTILHA PARA FREIO 2076/2016 20762016 N-1468 N1468 PD/740 PD740 TOYOTA RAV4  PASTILHA PARA FREIO PASTILHAS DIANTEIRA COBREQ N-1468 FRASLE PD/740 REGISTRO INMETRO 2076/2016
4363;PFC240019;PFC240019;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC240019.jpg;;;; PFC240019 PASTILHA PARA FREIO 2076/2016 20762016 34106860019 BMW SERIE 1 CONVERSIVEL 220D SERIE 2 ACTIVE TOURER 218I ACTIVE TOURER 220D ACTIVE TOURER 220D XDRIVE ACTIVE TOURER 220I ACTIVE TOURER 225I ACTIVE TOURER 225I XDRIVE COUPE 220D GRAN TOURER 218D GRAN TOURER 218I GRAN TOURER 220D XDRIVE GRAN TOURER 220I X1 SDRIVE 18D SDRIVE 20I XDRIVE 20D XDRIVE 20I XDRIVE 25D XDRIVE 25I  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 34106860019 REGISTRO INMETRO 2076/2016
4364;PFC290008;PFC290008;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC290008.jpg;;;; PFC290008 PASTILHA PARA FREIO 2080/2016 20802016 D10604KH0C NISSAN FRONTIER LE CD 4X4  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL D10604KH0C REGISTRO INMETRO 2080/2016
4365;PFC290009;PFC290009;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC290009.jpg;;;; PFC290009 PASTILHA PARA FREIO 2078/2016 20782016 PD/585 PD585 INFINITI NISSAN SUZUKI 350Z ALTIMA FX 35 FX 45 G35 GRAND VITARA MAXIMA MURANO QUEST SENTRA X-TRAIL  PASTILHA PARA FREIO PASTILHAS TRASEIRA FRASLE PD/585 REGISTRO INMETRO 2078/2016
4366;PFC290010;PFC290010;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC290010.jpg;;;; PFC290010 PASTILHA PARA FREIO 2075/2016 20752016 D1060EM30A N-1434 N1434 PD/728 PD728 INFINITI NISSAN SUZUKI 350Z ALTIMA G20 G35 I30 I35 MAXIMA SENTRA S / SL SX4  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL D1060EM30A COBREQ N-1434 FRASLE PD/728 REGISTRO INMETRO 2075/2016
